fname,file_type,time_start,time_end,freq_start,freq_end
SM_190828_064110_767.wav,whistles,1.0667,1.6320,9140.6,15234.4
NB_190821_030231_828.wav,whistles,1.4613,2.6400,9093.8,15515.6
SM_190723_090333_999.wav,whistles,0.9067,1.6373,5015.6,11578.1
SM_190805_013513_908.wav,whistles,1.0987,2.5547,6515.6,17250.0
SM_190910_095216_309.wav,whistles,0.7520,1.1307,10218.8,16734.4
SM_190910_095216_309.wav,whistles,1.2427,1.5787,10546.9,16265.6
NB_190830_014716_013.wav,whistles,0.7520,1.1840,9046.9,15703.1
NB_190830_014716_013.wav,whistles,1.2373,1.8187,8765.6,16218.8
NB_190722_104835_335.wav,whistles,0.8373,1.8773,6046.9,13265.6
DB_190913_131200_614.wav,whistles,0.4267,1.1360,6328.1,9750.0
DB_190913_131200_614.wav,whistles,0.3360,1.4133,8578.1,15984.4
SM_190829_070819_581.wav,whistles,0.6240,1.3973,5156.2,10640.6
DB_190907_173106_865.wav,whistles,0.1493,0.4800,5671.9,13031.2
DB_190907_173106_865.wav,whistles,0.5547,0.9280,9656.2,15843.8
DB_190907_173106_865.wav,whistles,1.0027,1.3387,8109.4,15140.6
NB_190918_140503_575.wav,whistles,0.4213,0.8053,5859.4,8437.5
NB_190804_204943_602.wav,whistles,0.1493,0.7413,5203.1,11765.6
NB_190804_204943_602.wav,whistles,0.8320,1.1893,6609.4,11859.4
NB_190804_204943_602.wav,whistles,0.2027,0.7680,12375.0,19875.0
NB_190804_204943_602.wav,whistles,1.2640,1.5360,7312.5,11765.6
DB_190916_133225_967.wav,whistles,0.6613,1.2640,6140.6,16031.2
DB_190916_133225_967.wav,whistles,1.2320,1.9147,8390.6,14953.1
DB_190916_022848_526.wav,whistles,1.6053,2.5387,8109.4,13828.1
NB_190901_165552_240.wav,whistles,0.1493,0.6613,8015.6,9515.6
NB_190901_165552_240.wav,whistles,0.8640,1.2213,8203.1,9703.1
SM_190916_085436_700.wav,whistles,0.9707,1.8560,5109.4,12000.0
NB_190915_204916_911.wav,whistles,0.4107,1.4507,6234.4,15937.5
SM_190811_211103_324.wav,whistles,1.4560,2.3093,5203.1,10875.0
SM_190811_211103_324.wav,whistles,1.7067,2.3253,10687.5,19500.0
DB_190830_075801_229.wav,whistles,0.6827,1.2693,5859.4,14859.4
DB_190830_075801_229.wav,whistles,1.2853,1.6320,7125.0,15046.9
DB_190830_075801_229.wav,whistles,1.4987,2.4427,6890.6,16125.0
DB_190913_130818_238.wav,whistles,0.1760,0.9013,5484.4,11625.0
DB_190916_025605_727.wav,whistles,1.0667,1.2907,8250.0,13500.0
NB_190804_195209_109.wav,whistles,0.1707,0.8427,7593.8,16265.6
SM_190823_232942_376.wav,whistles,1.1733,2.3200,5625.0,13031.2
SM_190904_100025_811.wav,whistles,1.6853,2.4213,6703.1,19734.4
SM_190904_100025_811.wav,whistles,0.0107,0.4640,10875.0,19828.1
SM_190922_001208_812.wav,whistles,0.4320,0.7733,6140.6,12046.9
SM_190922_001208_812.wav,whistles,0.6400,0.9547,13078.1,16453.1
SM_190922_001208_812.wav,whistles,1.0667,1.3653,7734.4,12421.9
SM_190922_001208_812.wav,whistles,1.2320,1.5787,12796.9,16828.1
